00079_0	むじ無地ホワイト
13633_0	レッド
13633_1	ブルー
13633_2	グリーン
13633_3	パープル
13633_4	ホワイト
13633_5	ブラック
13633_6	ゴールド
13634_0	なし
13634_1	レッドシール
13634_2	ブルーシール
13634_3	イエローシール
13636_0	しろ白のかいせつ解説プレート
13636_1	くろ黒のかいせつ解説プレート
13636_2	ふうけいが風景画
13636_3	せいぶつが静物画
13636_4	じんぶつが人物画
13636_5	はんが版画
13636_6	ちゅうしょうが抽象画
13636_7	こどものえ絵
13637_0	グリーン
13637_1	イエロー
13637_2	レッド
13637_3	ブルー
13637_4	オレンジ
13637_5	ブラック
13637_6	ホワイト
13637_7	ピンク
13638_0	グリーン
13638_1	イエロー
13638_2	レッド
13638_3	ブルー
13638_4	オレンジ
13638_5	ブラウン
13638_6	ホワイト
13638_7	ピンク
13639_0	むじ無地
13639_1	ライン
13639_2	パンチングボード
13639_3	よこ横いた板ば張り
13639_4	こうし格子
13639_5	つちかべ土壁
13639_6	コンクリート
13639_7	ゴールド
13640_0	
13640_1	
13640_2	
13640_3	×
13640_4	ドリンク
13640_5	マイク
13640_6	\0\0オープンOPEN
13640_7	スマイル
13647_0	なし
13647_1	きけん危険
13647_2	イベントこくち告知
13647_3	ぼしゅうこうこく募集広告
13647_4	じんぶつ人物PR
13647_5	ヴィンテージ
13647_6	ゴミしゅうしゅうび収集日
13651_0	しょ書
13651_1	やま山
13651_2	りゅう龍
13651_3	つる鶴
13651_4	さくら桜
13651_5	もみじ紅葉
13652_0	たから宝のちず地図
13652_1	こうかいず航海図
13652_2	\0\0
せかいちず世界地図
13655_0	お押しばな花
13655_1	うみ海のしゃしん写真
13655_2	やま山のしゃしん写真
13655_3	ゆうぐ夕暮れのしゃしん写真
13655_4	とかい都会のしゃしん写真
13655_5	セピアのしゃしん写真
13655_6	\0\0しゅうごうしゃしん集合写真
13655_7	スポーツのしゃしん写真
13656_0	ホワイト
13656_1	イエロー
13656_2	オレンジ
13656_3	レッド
13656_4	ピンク
13656_5	パープル
13656_6	ブルー
13656_7	グリーン
13657_0	くさばな草花
13657_1	やま山
13657_2	とり鳥
13657_3	モノトーンはながら花柄
13657_4	カラフルはながら花柄
13657_5	セピアはながら花柄
13657_6	ザクロ
13657_7	だいち大地
13680_0	シルバー
13680_1	ブラック
13680_2	ライトブラウン
13680_3	ブラウン
13681_0	レッド
13681_1	イエロー
13681_2	グリーン
13681_3	ネイビー
13681_4	オレンジ
13681_5	ホワイト
13681_6	ブラック
13681_7	トリコロール
13683_0	パープル
13683_1	ブルー
13683_2	ピンク
13683_3	グリーン
13683_4	オレンジ
13683_5	ブラウン
13683_6	ホワイト
13683_7	ブラック
13701_0	ワインレッド
13701_1	グリーン
13701_2	イエロー
13701_3	ライトブルー
13701_4	ホワイト
13701_5	ネイビー
13701_6	ブラック
13701_7	パープル
13709_0	なし
13709_1	オレンジ
13709_2	ブラック
13709_3	イエロー
13709_4	ブルー
13709_5	グリーン
13727_0	むじ無地ホワイト
13727_1	ライトブラウン
13727_2	レッド
13727_3	グリーン
13727_4	ダークブラウン
13727_5	ピンク
13727_6	イエロー
13727_7	ブルー
13730_0	ホワイト
13730_1	ライトグレー
13730_2	ピンク
13730_3	ライトブルー
13730_4	イエローパターン
13730_5	グリーンパターン
13730_6	オレンジパターン
13730_7	ネイビーパターン
13744_0	はな花
13744_1	タイポグラフィ
13744_2	きぎ木々
13744_3	パンケーキ
13744_4	ヴィンテージ
13744_5	こくち告知
13744_6	しゃしん写真
13744_7	とり鳥
13746_0	むじ無地ホワイト
13746_1	むじ無地ブラック
13746_2	むじ無地グリーン
13746_3	むじ無地ライトブラウン
13746_4	しょくぶつ植物のつち土
13746_5	せっかい石灰
13746_6	まめ豆
13747_0	ON AIR
13747_1	OPEN
13747_2	CLOSED
13747_3	WELCOME
13747_4	VIP
13747_5	DANGER
13747_6	しようちゅう使用中
13747_7	さぎょうちゅう作業中
13751_0	もり森のしゃしん写真
13751_1	うみ海のしゃしん写真
13751_2	はな花のしゃしん写真
13751_3	てつどうしゃしん鉄道写真
13751_4	モノクロしゃしん写真
13756_0	なし
13756_1	ブルーロゴ
13756_2	ホワイトロゴ
13756_3	オレンジ
13756_4	リンゴ
13756_5	モモ
13756_6	ナシ
13756_7	さくらんぼ
13764_0	ホワイト
13764_1	イエロー
13764_2	オレンジ
13764_3	レッド
13764_4	ピンク
13764_5	パープル
13764_6	ブルー
13764_7	グリーン
13925_0	プレゼンしりょう資料
13925_1	ビデオかいぎ会議
13925_2	かわせ為替チャート
13925_3	かんし監視カメラえいぞう映像
13925_4	てんきよほう天気予報
13925_5	\0\0ぎょうむじょうほう業務情報
13925_6	スポーツちゅうけい中継
13925_7	ブルースクリーン
13926_0	デフォルト
13926_1	↑
13926_2	→
13926_3	←
13926_4	しんにゅうきんし進入禁止
13926_5	コーヒー
13926_6	バッグ
13926_7	くるま車
14049_0	なし
14049_1	きぎょうめい企業名
14049_2	クールびん便
14049_3	ひっこ引越し
14049_4	すいさんぶつ水産物
14049_5	やさい野菜
14051_0	せいぶつが静物画
14051_1	しょうぞうが肖像画
14051_2	じんぶつが人物画
14051_3	ものがたり物語
14051_4	ゆさい油彩のふうけいが風景画
14051_5	アクリルのふうけいが風景画
14051_6	ちゅうしょうが抽象画
14051_7	パターンが画
14215_0	おんぷ音符
14215_1	て手
14215_2	うみ海のい生きもの物
14215_3	はな花
14215_4	ほし星
14215_5	ハート
14215_6	ゆき雪のけっしょう結晶
14215_7	きょうりゅう恐竜
14346_0	SPECIAL
14346_1	りょうり料理プレート
14346_2	カフェメニュー
14346_3	きけん危険
14346_4	ハート
14346_5	てあら手洗い
14346_6	ヴィンテージかんばん看板
14475_0	ゴールド
14475_1	ブルー
14475_2	ピンク
14525_0	なし
14525_1	ナチュラル
14525_2	クール
14525_3	キュート
14527_0	グラフしりょう資料
14527_1	もんしんひょう問診票
14527_2	トゥードゥーToDoリスト
14527_3	サインのれんしゅう練習
14527_4	メニュー
14527_5	めいぼ名簿
14527_6	メモ
14527_7	スケッチ
14572_0	なし
14572_1	じてんしゃ自転車ステッカー
14572_2	しゅうのうひん収納品ラベル
14572_3	メッセージステッカー
14572_4	リースのステッカー
14572_5	ロゴステッカー
14572_6	ききゅう気球ステッカー
14572_7	\0\0
せっちきょかしょう設置許可証
14592_0	なし
14592_1	がっき楽器
14592_2	あお青いはな花
14592_3	きいろ黄色いはな花
14592_4	しろ白いはな花
14592_5	あか赤いはな花
14592_6	\0\0
きかがくもよう幾何学模様
14592_7	ことり小鳥
14619_0	むじ無地
14619_1	しっぽう七宝
14619_2	やがすり矢絣
14619_3	ききょう桔梗
14619_4	まね招きねこ猫
14619_5	つる鶴
14619_6	ふじ藤
14619_7	えんそう円相
14620_0	むじ無地
14620_1	さくら桜
14620_2	いげた井桁
14620_3	たけ竹
14620_4	あさ麻のは葉
14620_5	もみじ紅葉
14620_6	かもん家紋
14620_7	こおり氷
14621_0	せっけいず設計図
14621_1	ろせんず路線図
14621_2	ふせん付箋つきしりょう資料
14621_3	\0\0はっぴょうしりょう発表資料
14621_4	デザインスケッチ
14621_5	カラーサンプル
14621_6	てんきゅう天球ず図
14714_0	なし
14714_1	はっぱ
14714_2	ハート
14714_3	ベル
